HS Code,ISIC Code,HS Description,ISIC Description
0101,01,"Horses, asses, mules and hinnies; live","Crop and animal production, hunting and related service activities"
0101,01,"Horses, asses, mules and hinnies; live","Crop and animal production, hunting and related service activities"
0101,01,"Horses, asses, mules and hinnies; live","Crop and animal production, hunting and related service activities"
0101,01,"Horses, asses, mules and hinnies; live","Crop and animal production, hunting and related service activities"
0102,01,Bovine animals; live,"Crop and animal production, hunting and related service activities"
0102,01,Bovine animals; live,"Crop and animal production, hunting and related service activities"
0102,01,Bovine animals; live,"Crop and animal production, hunting and related service activities"
0102,01,Bovine animals; live,"Crop and animal production, hunting and related service activities"
0102,01,Bovine animals; live,"Crop and animal production, hunting and related service activities"
0103,01,Swine; live,"Crop and animal production, hunting and related service activities"
0103,01,Swine; live,"Crop and animal production, hunting and related service activities"
0103,01,Swine; live,"Crop and animal production, hunting and related service activities"
0104,01,Sheep and goats; live,"Crop and animal production, hunting and related service activities"
0104,01,Sheep and goats; live,"Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0105,01,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0106,01,"Animals; live, n.e.c. in chapter 01","Crop and animal production, hunting and related service activities"
0201,15,Meat of bovine animals; fresh or chilled,Manufacture of leather and related products
0201,15,Meat of bovine animals; fresh or chilled,Manufacture of leather and related products
0201,15,Meat of bovine animals; fresh or chilled,Manufacture of leather and related products
0202,15,Meat of bovine animals; frozen,Manufacture of leather and related products
0202,15,Meat of bovine animals; frozen,Manufacture of leather and related products
0202,15,Meat of bovine animals; frozen,Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0203,15,"Meat of swine; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0204,15,"Meat of sheep or goats; fresh, chilled or frozen",Manufacture of leather and related products
0205,15,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
0206,15,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",Manufacture of leather and related products
